Station Description:,Central Skagerrak,
2018.4583,6.402,35.1
2018.5417,6.548,35.178
2018.625,6.508,35.116
2018.7083,7.476,35.124
2018.7917,7.543,35.041
2018.875,8.667,35.068
2018.9583,8.646,34.954
2019.0417,7.886,34.901
2019.125,6.311,34.94
2019.2083,6.436,34.888
2019.2917,7.278,35.001
2019.375,7.351,35.023
2019.4583,7.787,35.056
2019.5417,7.998,35.003
2019.625,7.744,35.047
2019.7083,,
2019.7917,8.037,35.118
2019.875,,
2019.9583,,
2020.0417,7.802,35.119
2020.125,7.439,34.978
2020.2083,,
2020.2917,7.325,35.143
2020.375,,
2020.4583,7.614,35.05
2020.5417,8.013,34.991
2020.625,7.954,35.109
2020.7083,,
2020.7917,8.024,35.102
2020.875,,
2020.9583,,
2021.0417,,
2021.125,,
2021.2083,,
2021.2917,,
2021.375,,
2021.4583,,
2021.5417,7.146,35.067
2021.625,7.332,35.045
2021.7083,7.445,35.056
2021.7917,7.495,34.933
2021.875,,
2021.9583,8.261,34.972
2022.0417,,
2022.125,,
2022.2083,6.857,34.966
2022.2917,,
2022.375,7.088,35.125
2022.4583,7.407,35.103
2022.5417,7.535,35.123
2022.625,,
2022.7083,,
2022.7917,,
2022.875,9.196,34.967
2022.9583,8.294,35.075
2023.0417,7.901,34.707
2023.125,7.742,35.017
2023.2083,7.748,35.088
2023.2917,7.375,35.042
2023.375,,
2023.4583,,
2023.5417,8.178,34.992
2023.625,7.822,35.114
2023.7083,7.994,35.088
2023.7917,8.272,35.019
2023.875,8.54,34.875
2023.9583,8.646,35.002
2024.0417,8.393,34.900
2024.1250,6.389,34.712
2024.2083,7.236,34.972
2024.2917,,
2024.3750,6.963,35.024
2024.4583,,
2024.5417,7.329,34.939
2024.6250,7.556,35.081
2024.7083,7.803,35.118
2024.7917,8.053,35.088
2024.8750,8.988,35.058
2024.9583,,
