# Index:,NWES_007,,,,,,,,,,
# Station Description:,North Sea SST,,,,,,,,,,
# Region Code:,NWES,,,,,,,,,,
# Latitude:,55.99 N,,,,,,,,,,
# Longitude:,3.201 E,,,,,,,,,,
# Detailed Location (WKT):,"POLYGON((-3.95 51.17, 10.36 51.17, 10.36 60.81, -3.95 60.81, -3.95 51.17))",,,,,,,,,,
# Measurement Depth/Range:,Surface,,,,,,,,,,
# Sampling Frequency:,,,,,,,,,,,
# Data Source:,BSH - German Federal Maritime and Hydrographic Agency,,,,,,,,,,
# Contact Name (email):,Dagmar Kieke (dagmar.kieke@bsh.de),,,,,,,,,,
# Notes:,,,,,,,,,,,
# Reference:,"Loewe",,,,,,,,,,
# DOI:,,,,,,,,,,,
# Website:,https://www.bsh.de/EN/DATA/Climate-and-Sea/Sea_temperatures/Sea_surface_temperatures/sea_surface_temperatures_node.html,,,,,,,,,,
Decimal Year,Temperature °C,,,,,,,,,,
2023.37500,9.74,,,,,,,,,,
2023.45833,13.70,,,,,,,,,,
2023.54167,15.72,,,,,,,,,,
2023.62500,16.15,,,,,,,,,,
2023.70833,16.24,,,,,,,,,,
2023.79167,13.24,,,,,,,,,,
2023.87500,10.81,,,,,,,,,,
2023.95833,8.37,,,,,,,,,,
2024.04167,6.84,,,,,,,,,,
2024.12500,6.68,,,,,,,,,,
2024.20833,6.75,,,,,,,,,,
2024.29167,7.85,,,,,,,,,,
2024.37500,11.12,,,,,,,,,,
2024.45833,13.44,,,,,,,,,,
2024.54167,15.25,,,,,,,,,,
2024.62500,16.38,,,,,,,,,,
2024.70833,15.25,,,,,,,,,,
2024.79167,13.09,,,,,,,,,,
2024.87500,10.93,,,,,,,,,,
2024.95833,9.10,,,,,,,,,,
2025.04167,7.70,,,,,,,,,,
2025.12500,6.80,,,,,,,,,,
2025.20833,6.80,,,,,,,,,,
2025.29167,8.40,,,,,,,,,,
2025.37500,10.99,,,,,,,,,,
2025.45833,13.79,,,,,,,,,,
2025.54167,16.96,,,,,,,,,,
2025.62500,16.65,,,,,,,,,,
2025.70833,15.97,,,,,,,,,,
2025.79167,13.79,,,,,,,,,,
2025.87500,11.50,,,,,,,,,,
2025.95833,9.61,,,,,,,,,,
